price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;sqft_above;sqft_basement;yr_built;yr_renovated;street;city;statezip;country;kelayakan
313000.0;3.0;1.5;1340;7912;1.5;0;0;3;1340;0;1955;2005;18810 Densmore Ave N;Shoreline;WA 98133;USA;Tidak Layak
2384000.0;5.0;2.5;3650;9050;2.0;0;4;5;3370;280;1921;0;709 W Blaine St;Seattle;WA 98119;USA;Layak
342000.0;3.0;2.0;1930;11947;1.0;0;0;4;1930;0;1966;0;26206-26214 143rd Ave SE;Kent;WA 98042;USA;Tidak Layak
420000.0;3.0;2.25;2000;8030;1.0;0;0;4;1000;1000;1963;0;857 170th Pl NE;Bellevue;WA 98008;USA;Tidak Layak
550000.0;4.0;2.5;1940;10500;1.0;0;0;4;1140;800;1976;1992;9105 170th Ave NE;Redmond;WA 98052;USA;Tidak Layak
490000.0;2.0;1.0;880;6380;1.0;0;0;3;880;0;1938;1994;522 NE 88th St;Seattle;WA 98115;USA;Tidak Layak
335000.0;2.0;2.0;1350;2560;1.0;0;0;3;1350;0;1976;0;2616 174th Ave NE;Redmond;WA 98052;USA;Tidak Layak
482000.0;4.0;2.5;2710;35868;2.0;0;0;3;2710;0;1989;0;23762 SE 253rd Pl;Maple Valley;WA 98038;USA;Tidak Layak
452500.0;3.0;2.5;2430;88426;1.0;0;0;4;1570;860;1985;0;46611-46625 SE 129th St;North Bend;WA 98045;USA;Tidak Layak
640000.0;4.0;2.0;1520;6200;1.5;0;0;3;1520;0;1945;2010;6811 55th Ave NE;Seattle;WA 98115;USA;Tidak Layak
463000.0;3.0;1.75;1710;7320;1.0;0;0;3;1710;0;1948;1994;Burke-Gilman Trail;Lake Forest Park;WA 98155;USA;Tidak Layak
1400000.0;4.0;2.5;2920;4000;1.5;0;0;5;1910;1010;1909;1988;3838-4098 44th Ave NE;Seattle;WA 98105;USA;Tidak Layak
588500.0;3.0;1.75;2330;14892;1.0;0;0;3;1970;360;1980;0;1833 220th Pl NE;Sammamish;WA 98074;USA;Tidak Layak
365000.0;3.0;1.0;1090;6435;1.0;0;0;4;1090;0;1955;2009;2504 SW Portland Ct;Seattle;WA 98106;USA;Tidak Layak
1200000.0;5.0;2.75;2910;9480;1.5;0;0;3;2910;0;1939;1969;3534 46th Ave NE;Seattle;WA 98105;USA;Tidak Layak
242500.0;3.0;1.5;1200;9720;1.0;0;0;4;1200;0;1965;0;14034 SE 201st St;Kent;WA 98042;USA;Tidak Layak
419000.0;3.0;1.5;1570;6700;1.0;0;0;4;1570;0;1956;0;15424 SE 9th St;Bellevue;WA 98007;USA;Tidak Layak
367500.0;4.0;3.0;3110;7231;2.0;0;0;3;3110;0;1997;0;11224 SE 306th Pl;Auburn;WA 98092;USA;Tidak Layak
257950.0;3.0;1.75;1370;5858;1.0;0;0;3;1370;0;1987;2000;1605 S 245th Pl;Des Moines;WA 98198;USA;Tidak Layak
275000.0;3.0;1.5;1180;10277;1.0;0;0;3;1180;0;1983;2009;12425 415th Ave SE;North Bend;WA 98045;USA;Tidak Layak
750000.0;3.0;1.75;2240;10578;2.0;0;0;5;1550;690;1923;0;3225 NE 92nd St;Seattle;WA 98115;USA;Tidak Layak
